brand,model,color,price_in_euro,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,mileage_in_km,age
ford,S-Max,black,19970.0,200.0,Automatic,Diesel,6.4,103000.0,13.0
kia,,blue,25950.0,160.0,Manual,Petrol,6.0,25.0,3.0
hyundai,KONA,grey,29990.0,204.0,Automatic,Electric,4.98,46000.0,7.0
dodge,RAM,grey,56999.0,401.0,Automatic,LPG,9.3,10900.0,5.0
bmw,118,black,10950.0,150.0,Manual,Diesel,4.7,209010.0,11.0
hyundai,,silver,17450.0,84.0,Manual,Petrol,5.7,5583.0,4.0
ford,Ranger,orange,40980.0,212.0,Automatic,Diesel,7.8,30235.0,5.0
ford,Mustang,red,38900.0,421.0,Automatic,Petrol,12.0,19100.0,8.0
kia,Sportage,blue,14900.0,132.0,Manual,Petrol,6.7,128092.0,9.0
audi,TT,blue,34411.0,230.0,Automatic,Petrol,6.9,31560.0,9.0
audi,A5,white,20750.0,245.0,Automatic,Diesel,5.9,144939.0,13.0
kia,XCeed,gold,31990.0,160.0,Automatic,Petrol,6.4,20.0,3.0
audi,A6,black,18600.0,190.0,Manual,Diesel,4.4,177358.0,9.0
bmw,X1,white,12790.0,143.0,Automatic,Diesel,6.2,195832.0,14.0
ford,Fiesta,grey,18675.0,125.0,Manual,Petrol,4.0,15250.0,5.0
audi,A3,silver,26950.0,110.0,Manual,Petrol,4.5600000000000005,8651.0,5.0
ford,Focus C-Max,silver,4500.0,101.0,Manual,Petrol,6.6,121290.0,21.0
audi,RS3,red,62500.0,400.0,Automatic,Petrol,8.2,12000.0,4.0
bmw,530,black,36800.0,265.0,Automatic,Diesel,5.3,77400.0,9.0
audi,A4,grey,16990.0,177.0,Manual,Diesel,4.8,99890.0,12.0
hyundai,i30,grey,12490.0,135.0,Manual,Petrol,5.9,80500.0,11.0
hyundai,H-1,white,9999.0,170.0,Manual,Diesel,8.5,166000.0,16.0
hyundai,i30,black,6500.0,109.0,Manual,Petrol,6.1,81000.0,14.0
mazda,CX-3,red,21000.0,150.0,Automatic,Petrol,5.3,85570.0,7.0
kia,Ceed SW / cee'd SW,silver,21190.0,101.0,Manual,Petrol,5.8,13356.0,4.0
bmw,550,silver,20500.0,408.0,Automatic,Petrol,6.0600000000000005,203362.0,15.0
bmw,218,grey,16490.0,136.0,Manual,Petrol,5.3,81673.0,10.0
audi,A3,yellow,21250.0,190.0,Automatic,Petrol,6.7,60900.0,7.0
dacia,Duster,blue,25785.0,150.0,Manual,Petrol,6.1,15.0,4.0
ford,Transit Custom,blue,29500.0,101.0,Manual,Diesel,7.3,24886.0,11.0
audi,A4,silver,14990.0,150.0,Automatic,Diesel,4.4,210910.0,9.0
ferrari,California,white,122900.0,489.0,Automatic,Petrol,14.839999999999998,56000.0,14.0
audi,A8,black,44900.0,258.0,Automatic,Diesel,5.9,44000.0,13.0
bmw,116,blue,8740.0,136.0,Manual,Petrol,5.5,142132.0,15.0
ford,Fiesta,grey,15999.0,101.0,Automatic,Petrol,6.1,63499.0,7.0
ford,Focus,orange,29990.0,280.0,Manual,Petrol,7.9,34085.0,7.0
bmw,X3,blue,20999.0,190.0,Manual,Diesel,5.2,123700.0,10.0
bmw,420,white,60350.0,190.0,Automatic,Diesel,5.5,6000.0,3.0
bmw,540,black,38000.0,320.0,Automatic,Diesel,5.5,114258.0,9.0
land-rover,Rover Range Rover Evoque,black,67290.0,204.0,Automatic,Diesel,5.3,21.0,3.0
ford,Kuga,white,15990.0,150.0,Automatic,Petrol,6.2,75000.0,11.0
bmw,520,white,21995.0,190.0,Manual,Diesel,4.5,133000.0,9.0
ford,Kuga,grey,20890.0,150.0,Manual,Petrol,7.0,31750.0,7.0
audi,A6,white,15000.0,204.0,Automatic,Diesel,5.7,218000.0,12.0
jeep,Wrangler,black,34990.0,200.0,Automatic,Diesel,8.3,76954.0,11.0
