Unnamed: 0,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
15645,audi,Audi A3,black,04/2018,2018,24955,110,150,Automatic,Petrol,"5,1 l/100 km",116 g/km,56341.0,Sportback sport Pano|ACC|Matrix|magnetic ride
8510,audi,Audi A5,brown,06/2014,2014,17990,125,170,Automatic,Petrol,"6,2 l/100 km",147 g/km,137000.0,Cabriolet 1.8 TFSI S-Line Sport *Bi-Xenon*LED
54644,fiat,Fiat 500X,grey,04/2019,2019,18580,110,150,Automatic,Petrol,"6,3 l/100 km",149 g/km,48248.0,1.3 GSE Klima Navi Cam SitzHz CarPlay Cross 4x2
42626,bmw,BMW 440,white,01/2022,2022,57950,250,340,Automatic,Diesel,"5,7 l/100 km",149 g/km,33646.0,M440d xDrive Coupé Head-Up HK HiFi DAB LED WLAN
89264,kia,Kia Venga,beige,04/2018,2018,13890,92,125,Manual,Petrol,"6,4 l/100 km",148 g/km,41905.0,Dream Team    * Anhängerkupplung *
33304,bmw,BMW 520,grey,04/2015,2015,29000,140,190,Automatic,Diesel,"4,5 l/100 km",- (g/km),52685.0,520d xDrive Aut.
74007,ford,Ford Ranger Raptor,blue,06/2022,2022,56740,156,212,Automatic,Diesel,"8,4 l/100 km",223 g/km,10.0,213PS Aut./Rollo/AHK -25%*
68655,ford,Ford Focus,blue,02/2019,2019,10350,88,120,Manual,Diesel,"3,7 l/100 km",97 g/km,175000.0,Turnier 1.5 EcoBlue Cool & Connect EU6d-T Navi Kli
81619,hyundai,Hyundai KONA,grey,08/2020,2020,24900,100,136,Automatic,Electric,,0 g/km,62576.0,Advantage
77421,hyundai,Hyundai iX20,grey,06/2011,2011,6999,66,90,Manual,Petrol,6 l/100 km,142 g/km,79000.0,Classic *1 HAND*NUR 79000 KM*
13485,audi,Audi A7,grey,02/2017,2017,38900,240,326,Automatic,Diesel,"6,3 l/100 km",167 g/km,133000.0,3.0 TDI competition quattro tiptronic
1093,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,29970,115,156,Automatic,Petrol,"5,9 l/100 km",134 g/km,10.0,SUPER 1.5 T 130PS 48-Hybrid AT7
32868,bmw,BMW 520,silver,Automatic,Petrol,Inkl-2.Jahre Garantie,"6,8 l/100 km",135,Automatic,08/2014,161 g/km,2014,18500.0,Baureihe 5 Lim.TÜV NEU
64788,ford,Ford Transit Courier,white,01/2016,2016,13499,74,101,Manual,Petrol,"5,4 l/100 km",128 g/km,34500.0,Kombi EcoBoost 1.0 74 kW (101 PS)
21131,audi,Audi S6,red,03/2022,2022,29950,253,344,Automatic,Diesel,"6,4 l/100 km",170 g/km,75.0,*MATRIX*360°*Pano*ACC*Gar 03.2027*NP 101.900€
51724,dodge,Dodge Durango,grey,06/2021,2021,48999,220,299,Automatic,Petrol,,0 g/km,11100.0,"3,6 V6* 7 SITZER*LPG BRC*NEW MODEL*PDC*"
62658,ford,Ford Focus,grey,08/2015,2015,11730,110,150,Manual,Petrol,"5,6 l/100 km",133 g/km,112060.0,Turnier 1.5 EcoBoost BUSINESS NAV+SHZ+AHK
25204,bmw,BMW 120,black,02/2005,2005,3950,120,163,Automatic,Diesel,"6,6 l/100 km",176 g/km,300000.0,*LIM*AUTOMATIK*NAVIGATION
682,alfa-romeo,Alfa Romeo Giulia,red,05/2018,2018,25000,206,280,Automatic,Petrol,"6,4 l/100 km",152 g/km,68000.0,2.0 Turbo 16V AT8-Q4 Veloce
26151,bmw,BMW 535,grey,06/2007,2007,10500,210,286,Automatic,Diesel,"6,7 l/100 km",- (g/km),241000.0,535d Sport-Aut.
41907,bmw,BMW i3,white,05/2021,2021,25890,75,102,Automatic,Electric,,307 km Reichweite,15813.0,"120Ah/19""/Harman/Navi/Rfk./DAB"
71170,ford,Ford Ranger Raptor,grey,01/2020,2020,48890,156,212,Automatic,Diesel,"10,7 l/100 km",281 g/km,46600.0,Original Standheizung+AHK+Leder Klima Xenon Navi
32570,bmw,BMW 525,black,07/2014,2014,16799,160,218,Automatic,Diesel,"5,2 l/100 km",138 g/km,191000.0,d Touring M-Sportpaket SAG~NAVI PROF.~HEADUP~
88039,kia,Kia Rio,white,08/2013,2013,7990,80,109,Manual,Petrol,5 l/100 km,115 g/km,88000.0,1.4 Klima/Navi/Kamara/Parktronik/1Hand
74384,ford,Ford Puma,black,06/2022,2022,27250,92,125,Automatic,Petrol,"5,8 l/100 km",130 g/km,7.0,ST-Line Kamera Winterpaket...
43299,cadillac,Cadillac Escalade,white,03/2017,2017,68990,313,426,Automatic,Petrol,"13,1 l/100 km",302 g/km,99667.0,ESV 6.2 V8 AWD Platinum 1.Hd/ACC/Luft
82857,hyundai,Hyundai IONIQ,black,07/2022,2022,27990,100,136,Automatic,Electric,,0 g/km,1980.0,FL Elektro Advantage Navi Soundsystem ACC Apple Ca
25067,bmw,BMW 116,blue,12/2005,2005,2200,85,116,Manual,Petrol,"7,5 l/100 km",- (g/km),194000.0,116i
68891,ford,Ford C-Max,blue,03/2019,2019,14550,88,120,Manual,Diesel,"4,7 l/100 km",125 g/km,66600.0,"Cool & Connect - TEMPOMAT, WINTER-PAKET"
35504,bmw,BMW 135,white,01/2016,2016,26480,240,326,Automatic,Petrol,8 l/100 km,190 g/km,119000.0,Baureihe 1 Lim.M135i. 1er . Navi. Automatik. LED
49977,dacia,Dacia Spring,blue,07/2022,2022,19750,33,45,Automatic,Electric,,0 g/km,2000.0,Comfort Plus.Klima.Leder.Sofort.Mit CCS Dose.
